rp,cprice
1,-.68151623
0,-.67454296
1,-.83002037
0,-.91974968
1,-.89925706
0,-1.4512225
0,-1.0183908
0,-.80118477
0,-.35195574
0,-.71301663
1,-1.3816915
1,-.92771113
1,-1.4174199
0,-.86815935
0,-.13474469
1,-.53580546
1,-1.3875128
0,-1.460392
0,-1.5913571
1,.017008843
1,-.32963273
0,-.41332537
0,.040339917
1,-1.428998
0,-.11485388
0,-1.6771978
1,-1.7923485
0,-1.5419428
0,-1.0657393
1,-.8725611
0,-.71648991
0,-.39315739
0,-1.3399841
1,-1.3273599
1,-.98732704
1,-1.5480323
0,-.36157009
0,-.80881107
1,-1.2442262
0,-1.6873732
1,-1.2227775
0,-1.2320956
0,-1.0266134
0,-1.3241956
1,-1.2654467
1,-.54096419
1,-1.1324667
0,-.90858734
1,-.74945682
0,-1.2704462
0,-.74198091
1,-.83558536
1,-.9285081
0,-.93419343
0,-1.1906672
0,.020756533
1,-1.6245106
1,-.38083717
1,-1.3257971
1,-.86334133
1,-1.5140804
1,-.96505332
0,-.66727442
1,-.81692773
0,-.72708565
0,-.872235
0,-1.1118317
0,-1.4375902
1,-.92243266
0,-1.5804144
0,-.62593544
1,-1.1243746
1,-1.4147834
0,-1.3611666
0,-1.397789
1,-1.0730188
0,-.17705615
0,-1.2742354
0,-1.259441
0,-1.0871434
1,-.83627462
1,-1.3327236
1,.19532564
1,-.96238995
0,-1.1510515
1,-1.2222559
1,-1.2102871
0,.057415996
0,-.99858969
0,-.97999984
1,-.81661826
0,-1.4619495
0,-.69179946
1,-1.0214732
0,-.52893209
1,-1.6973072
1,-.49397737
0,-1.4114677
0,-.76400173
1,-.059974674
1,-1.5839971
0,-1.5652355
1,-1.0565528
1,-1.4517547
0,-.33312264
0,-.96038771
0,-.011493067
0,.084605552
1,-.48676053
1,.80700725
0,-.10496072
0,-.48105252
0,-1.4211913
0,-1.148885
1,-.65623581
1,-1.4531075
1,-.13832928
0,-1.6091962
0,-1.4422303
0,-.23640881
1,-1.5613283
0,-.97234911
0,-1.1486613
1,-1.3304398
1,-.99758124
1,.017226057
1,-1.3600484
0,-.36713552
1,-1.1835206
0,-1.3999935
0,-1.3900505
0,-.27734417
1,-.35124233
1,-.95925295
1,-1.4674486
0,-1.3765187
0,-1.6759696
0,-1.6064091
0,-1.5439736
1,-.98225838
0,-1.4355007
0,-1.1833823
1,-1.3385963
0,-1.440961
0,-.1562494
1,-1.6668471
0,-.40522602
1,-1.2514518
1,-1.1712959
0,-.13195059
0,-.6037389
0,-.30745175
1,-1.236254
0,-1.2730827
0,-1.4445798
0,-.48742637
1,-1.799503
1,-1.3606397
0,.41234982
0,-1.5757514
0,-.27369526
1,-1.3712463
1,-.19748604
1,.17754531
1,-1.4978629
1,-1.0272357
1,-.88854694
0,-.14379258
0,-1.2974862
1,-1.1186427
0,-1.462777
0,-.99238324
0,-1.3385832
0,-.36462224
0,-1.4365697
1,-1.2864487
0,-1.6664826
1,-1.376008
1,-1.3912098
1,-.70857286
1,-1.3670602
0,-1.4245672
1,-1.4745117
0,-.022072511
1,-.73972219
0,-1.3290019
0,-1.5807974
0,-1.0738821
1,-1.4866014
0,-.69936407
1,-1.6880984
1,-1.4965866
0,-.12744984
1,-1.0263574
0,.54686153
1,-1.2910664
1,-1.3486087
0,-.40167892
0,-1.5683374
0,-.14227685
1,-1.2595371
0,.5860976
0,-1.6461205
0,-.13091359
1,-1.72622
0,-1.2507513
0,-1.486149
1,-.21471398
1,-.42550111
1,-1.0630046
0,-.87443966
0,-1.5255766
0,-.77062052
1,-1.2326294
1,-.98490465
0,-.42358544
1,-1.4341697
1,-1.4414785
0,-1.5469984
